Pozicija [mm]
345.38
344.769
345.087
345.349
345.232
345.323
345.429
345.183
345.044
344.951
345.403
345.467
345.307
345.202
345.331
345.271
345.054
345.247
345.753
345.077
345.411
345.386
345.419
345.401
345.371
345.535
345.289
345.354
345.593
345.455
345.296
345.243
345.397
345.395
345.439
345.568
345.568
344.984
345.313
345.009
345.572
345.421
345.413
345.431
345.458
344.675
345.017
345.212
345.003
345.436
345.237
345.197
344.945
345.121
345.365
345.09
345.254
345.064
345.473
345.622
345.166
345.664
345.35
345.317
345.457
345.628
345.367
345.189
345.081
345.521
345.284
345.129
345.395
345.217
345.176
345.494
345.307
345.151
345.472
345.09
345.452
345.572
344.991
345.346
345.308
345.465
345.351
344.858
345.466
345.729
345.578
345.313
345.189
345.477
345.343
345.115
345.383
345.238
345.438
345.357
345.171
345.488
345.103
345.509
345.287
345.426
345.356
345.164
345.329
345.198
345.18
345.169
345.454
345.382
344.936
345.368
345.045
345.142
345.115
345.414
345.297
344.912
345.124
345.217
345.233
345.21
345.299
345.29
345.184
345.203
345.217
345.489
345.24
345.461
345.067
345.222
345.426
345.014
345.268
345.396
345.221
344.984
345.414
344.707
345.368
345.377
345.059
345.827
345.147
345.378
345.504
345.513
344.936
345.214
345.008
345.222
345.533
345.102
345.271
345.398
345.31
345.448
345.211
344.916
344.895
345.03
345.142
345.356
345.59
345.147
345.471
345.22
345.426
345.163
345.266
345.034
345.463
345.341
345.152
345.219
345.44
345.402
345.246
345.356
345.173
345.118
345.325
345.296
345.201
345.246
345.22
345.326
345.395
345.552
345.38
345.311
345.249
345.132
345.515
345.354
345.441
345.385
345.337
345.186
345.389
345.155
345.372
345.165
344.846
345.234
345.175
345.474
344.914
345.139
345.18
345.093
345.292
345.07
345.26
345.33
345.346
345.443
345.393
345.059
345.209
345.108
345.364
345.076
345.244
345.206
345.375
345.478
345.21
345.606
345.374
345.34
345.136
345.451
345.484
345.271
345.59
345.612
345.227
345.542
345.318
345.326
345.102
345.469
345.714
345.321
345.42
345.034
345.268
345.221
345.26
345.258
345.23
345.318
345.592
345.362
345.105
345.342
345.228
345.273
345.227
344.961
345.384
345.474
345.18
345.388
345.081
345.361
345.555
345.414
345.155
345.387
345.524
345.123
345.678
345.331
345.716
345.366
345.072
345.409
345.347
345.58
345.265
345.45
345.242
345.246
345.216
345.413
345.04
345.657
345.487
345.573
345.222
345.153
345.196
345.286
345.433
345.298
345.437
345.622
345.713
345.209
345.303
345.404
345.492
345.197
345.189
345.504
345.389
345.504
345.219
344.969
345.487
345.237
345.365
345.543
345.322
345.603
345.564
345.794
345.311
345.534
345.462
345.376
345.618
345.678
345.484
345.155
345.503
344.994
345.29
345.63
345.879
345.238
345.565
345.309
345.625
345.134
345.465
345.364
345.558
345.529
345.243
345.571
345.174
345.459
345.335
345.276
345.194
345.41
345.642
345.473
345.424
345.365
345.23
345.147
345.155
345.383
345.215
345.491
345.625
345.538
345.143
345.208
345.533
345.331
345.185
345.142
345.349
345.657
345.191
345.508
345.003
345.275
345.571
345.672
345.21
345.464
345.104
345.287
345.135
345.424
345.364
345.375
345.312
345.387
345.396
345.514
345.501
345.488
345.665
345.079
345.358
345.292
345.55
345.449
345.712
345.253
345.478
345.282
345.584
345.512
345.358
345.466
345.413
345.12
345.528
345.548
345.552
345.092
345.707
345.244
345.311
345.37
345.428
345.329
345.725
345.613
345.455
345.505
345.645
345.399
345.333
345.042
345.11
345.192
344.86
345.396
345.575
345.276
345.61
345.572
345.46
345.396
345.436
345.841
345.481
345.226
345.47
345.367
345.51
345.45
345.171
345.317
345.61
345.766
345.519
345.494
345.548
345.498
345.558
345.339
345.292
345.041
345.325
345.265
345.389
345.452
345.644
345.455
345.279
345.427
345.297
345.513
345.486
345.405
345.231
345.643
344.994
345.589
345.159
345.392
345.522
345.446
345.746
345.682
345.543
345.461
345.696
345.474
345.28
345.461
345.684
345.131
345.669
345.422
345.394
345.119
345.613
345.401
345.522
345.499
345.434
345.375
345.17
345.186
345.53
345.588
345.534
345.331
345.501
345.201
345.32
345.295
345.184
345.392
345.646
345.489
345.549
345.492
345.501
345.404
345.464
345.657
345.767
345.651
345.365
345.38
345.466
345.42
345.225
345.507
345.365
345.475
345.542
345.332
345.454
345.549
345.536
345.285
345.726
345.529
345.26
345.703
345.691
345.428
345.585
345.405
345.659
345.947
345.593
345.49
345.748
345.301
345.396
345.571
345.413
345.596
345.569
345.509
345.455
345.636
345.586
345.647
345.22
344.939
345.712
345.422
345.589
345.587
345.389
345.282
345.297
345.687
345.497
345.513
345.429
345.723
345.334
345.429
345.148
345.598
345.465
345.545
345.553
345.685
345.606
345.374
345.572
345.51
345.389
345.359
345.569
345.471
345.488
345.617
345.404
345.286
345.332
345.669
345.727
345.176
345.724
345.713
345.348
345.48
345.701
345.095
345.688
345.381
345.405
345.452
345.366
345.537
345.529
345.423
345.682
345.172
345.328
345.529
345.498
345.255
345.498
345.692
345.454
345.426
345.25
345.494
345.934
345.319
345.278
345.084
345.61
345.584
345.577
345.28
345.575
345.496
345.452
345.436
345.975
345.262
345.731
345.417
345.701
345.675
345.578
345.405
345.41
345.656
345.643
345.38
345.79
345.761
345.565
345.42
345.705
345.634
345.648
345.686
345.143
345.423
345.358
345.817
345.769
345.262
345.575
345.639
345.598
345.417
345.739
345.757
345.243
345.675
345.576
345.691
345.641
